(00:40.83, 00:41.23) (spk 1): okay .
(17:37.69, 18:11.95) (spk ??): all you know I'm really struck by your comments that you you and I clearly think alike in this round I'm ideal life in the world of really bring in child development setting kids up to sixteen in this world the bill then you know you mentioned this idea of helping them learn self control but setting some guard rails and you know like you said it's it's their job to test when it and when I often say to that I'd need to parents and it's it's their job to test limits it's your job to set some and I think that's a perfect segue into our next speaker if you don't mind me absolutely great welcome back all this thank you yep perfect .
(18:12.76, 18:32.79) (spk 1): because again that's every insured K. so great you know you need to set some limits what should those limits B. and next up I'm excited to introduce international speaker Daschle is a bit smaller would ask who focuses on internet safety issues and we need to print all workshops writing digital parenting in coaches parents and dust packages in the digital age .
(18:33.66, 19:59.86) (spk 1): she's a consultant for the council of Europe unified and young phones as well as a contributor to internet matters UK safer internet and your family online safety institute and any other key actors in online child protection so the best I think you're gonna have plenty more that people are really really interested in here yes thank you so much Laura and I'm I'm conscious of time because I I'm going to just hold it to five minutes I'm not gonna use any slides because I just really want to talk to the parents like look at them hi I am just kind of explain I think that I hear quite a lot of parents ask me about one of the best point of control and I always enter in the same way you are you are the printer control with children under nine of course there are fabulous apps and devices and software in office of things that you can use to boost your parental guidance and like %HESITATION Adam was saying I would prefer to say print all guidance rather than print a control but I think that over the age of nine this can be more challenging I haven't printed controls on a device at unless you discussed this with your tween or teen in you've asked for their employed in you've crafted in family media agreement or a device agreement together so just keeping it really simple I always talk about how you can use it right so that's where miss communication engagement if it and by that I mean .
- end of chunk 2-
(20:00.0, 20:14.55) (spk 1): %HESITATION anytime that you're dealing with the issue online whether we're talking printed controls or social media or online gaming let's boost our awareness so with printed controls what are the different types %HESITATION and I'm just spoke about a .
(20:15.41, 20:55.87) (spk 1): port in screen time love that enjoyed the other have Google well being there are lots of lots of resources out there the taken there what do you want to stop where to do then we have this communication part right so you're going to be speaking with your child again under nine you can speak with them in a way that's age appropriate but again at this point as a lawyer I will tell you that you are there the digital guardian %HESITATION and so you know take it as your responsibility to put those guardrails on but we were talking about the older children you're still digital guardian but you can communicate with them you can let them know why certain things are inappropriate and you gonna be listening to them without judging .
(20:56.69, 21:51.91) (spk 1): %HESITATION lastly I would say this whole sort of engagement piece is that we are going to engage with our children are going to encourage them to share concerns objections in insurance the games that they're on something that I did with my own son who's eleven he wanted to have a chat opened up on in game and I said but I have printed control fungus so he said well money let's just look at it I said you're right let's take a peek and so we walk through it together and I found that there are ways for him to check with his friends but he knew %HESITATION and with to block and filtering it each time I would trouble something I would say do you need that and he would say no I don't need that and so he knew himself %HESITATION what he could do with what he needed so I think that we can really show our children the settings things that are gonna still too bad language or violent content or eliminate the chat in we really can't explain to them that they don't need all of these features but again I really want to .
(21:52.95, 22:25.19) (spk 1): stress this whole idea but prior to creating a a tech agreement Amelia green meant a smartphone agreement what ever again my Moyer had on don't think it's so much as a contract but been giving as near the digital parent I'm going to respect their toys or games and bay as your digital child appointed respect the walls limitations in your guidance and values so I'm just going to leave it at that more so that we can speed along and get to the audience because I can't wait to answer some questions .
(22:26.0, 22:56.52) (spk 1): %HESITATION and I think that I'm you get a lot of people who are gonna be eager to ask questions they don't you just sent and I love your idea I mean even I am somebody who doesn't like with words and I write and I do like communications side and the shift from side control to guidance I think fits with what I'm talking about with the guard rails and then you help facilitate with this goal how do you back up and like kids learn those skills right and I think that for everything pretty controlled social media really attacking tick tock or Snapchat or video games minecraft or forty nine what have you we can do it .
(22:57.93, 23:24.14) (spk 1): you know I I delight in the twenties although how do we develop them in this idea of engagement I mean obviously awareness in communications I've often told parents that we should be looked at as C. E. O.'s Arian chief engagement officer yeah it's one in the business world proved to be successful as well as when we %HESITATION C. E. O.'s in gauge as opposed to do the sort of dictatorial approach right I'm gonna go trademark that is that right now Laura .
(23:24.97, 23:25.8) (spk 1): on the something here .
(23:27.21, 24:08.8) (spk ??): you know I'm I'm really excited now to switch over to our next couple expert and let them win because the bills are in the the realm of human computer interactions and I think it's gonna be really interesting to have their input as well so now let's go to that Ricky Davis definitely Davis isn't so see a professor at the university of Washington information school where she is a founding member in cold rector of the UW digital usually I'm that good Davis's research exporting impact of digital erected and network technologies on young people's learning and development and key I think I'm as excited as everyone else to hear what you have to contribute to the conversation here great thank you Laura you know share my screen now .
(24:14.38, 24:40.56) (spk 0): okay hi everyone %HESITATION so my focus today is not so much about rental rules or parental controls limiting the amount of time kids then with technology but how parents can support their children's positive experiences with technology and perhaps reflect on what makes your own experiences with technology more or less positive chip but before we get to the positive tech experiences I do wanna take a minute .
(24:41.77, 24:50.38) (spk 0): to talk about what my research has to say about where screen time tensions come from especially in families with teenagers .
(24:51.29, 25:07.0) (spk 0): so first place it might be easy to assume that technology related tensions come from parents and change different perspectives and their different approaches to technology still parents sent to saying kids these days are so different well teen say parents are so out of touch .
(25:8.43, 25:13.77) (spk 0): but in fact my research suggests that parents in teams are actually far more similar than you might think .
(25:14.71, 25:43.75) (spk 0): so when we still go to group of parents and then separately with their change children about their own check you especially their phones both groups described experiences in remarkably similar ways so I'm gonna read to coach about interviews and I invite you to guess which one belongs to a parent and which one belongs to a teen and we're gonna do a Paul just see how good you are and so the first code is I'm on my phone waiting much like I'm judging right now to check it .
(25:44.56, 25:47.73) (spk 0): the second is but I've just been looking at my phone .
(25:49.86, 26:12.59) (spk 0): and sorry this surveys in front of the quote to me %HESITATION just to get my phone like I'm just looking at it because people are messaging me and I want to look at them so bad but I'm here and I'm trying to not do it so now we can show the survey and do you think the first quote with a parent or a teen do you think the second call was a parent or a chain .
(26:14.73, 26:17.0) (spk 0): or both family team both of my parents .
(26:35.65, 26:40.3) (spk 0): okay can we go ahead and close the policy see how well everyone did .
(26:45.43, 26:57.57) (spk 0): okay there's quite a split okay so it let me do the big reveal it looks like most people think the first one was a parent in the second one was a teen and .
(26:58.95, 27:7.44) (spk 0): if you could go ahead and close that but okay great so you are correct so the first one was a mother and the second one was a team .
(27:8.25, 27:8.53) (spk 0): %HESITATION .
(27:9.41, 27:25.43) (spk 0): but in addition to sounding extremely similar I also want to call your attention to the fact that this mother in chain or expressing pretty strong feelings about their phones so like wage like I'm judging right now to check it I want I want to look at them so bad .
(27:26.49, 27:33.09) (spk 0): it suggests that neither is really feeling particularly good or in control of their tech use welcome back back to this in a moment .
(27:34.44, 27:45.04) (spk 0): so parents in chains are also very similar in how they talk about each other's techie and again as I really next to call to want to a survey but I just invite you to guess which do you think it's taking .
(27:46.5, 27:57.56) (spk 0): I don't matter or change either so the first one is she literally just take her phone and sit like this imitating phone in front of her face he died or mother nice to see your head .
(27:58.46, 28:05.8) (spk 0): the second one I always joke with doctor mother children I'm like hi you're still beautiful I always see your forehead that's all I see .
(28:7.24, 28:26.22) (spk 0): so the first one is a team complaining about her mother and the second one is a mother using very similar language to describe her children's phone use so turns out this image of looking at a family member's head as they start their screen appeared often enough in our data that we gave it a name the forehead effect .
(28:27.1, 28:37.6) (spk 0): so in a nutshell both parents in change or I'm satisfied with their own check use generally speaking and they also feel that the other person's check uses more problematic than their own .
(28:38.77, 29:24.28) (spk 0): so this suggests that both parents in change have work to do to become more self aware and intentional about their own check use same time become more other aware and everything it recognising that they're likely to have different goals and purposes for using technology but these differences don't mean that one is more important or legitimate then the other this is where the empathy comes in trying to understand where the other person is coming from but the value and what they're trying to achieve through their technology is in this process of emphasising currents in chains are likely to find they have more in common that they might think so my last two minutes I just want to focus in on this piece about becoming more self aware and intentional about your technologies and also your teens technologies .
(29:25.94, 29:33.96) (spk 0): so in April of last year my students and I started a study examining the experiences of Seattle area and Jean strain the pandemic .
(29:34.98, 29:41.87) (spk 0): and through interviews and daily surveys with them we look at the connexion between their technology use and there will be .
(29:42.94, 29:59.99) (spk 0): in particular related how their daily well being fluctuated depending on how much total time they're spending with technology on any given day how much time they spend specifically with social media and also setting time aside completely how much satisfaction they got up from their checking the area Ince's .
- end of chunk 3-
(30:0.82, 30:29.39) (spk 0): so it turns out that how much time she spent with technology on Wednesday had absolutely no connexion to help good they felt the next day the same thing with for social media again it didn't matter how much time they spent I'm picking up or Instagram what mattered was how they had violated the time they spent with their favourite platforms so changed to read their time as technology as more satisfied more meaningful on Wednesday tended to report higher levels of one well being on the next .
(30:30.61, 30:40.75) (spk 0): so what exactly makes for a tech experience and that's more or less that is fine so in our research we found that the satisfying take experience does one or more .
(30:41.56, 30:59.04) (spk 0): the fondest things so it might allow teens to engage actively and intentionally in a pursuit that aligns with their overarching goals and values might provide opportunities for them to learn your skills in pursuing their interest or it might allow them to connect with others in a specially their friends .
(31:00.0, 31:11.06) (spk 0): so if you put everything together to over R. shingles I think all families should be striving for or once reduce tensions among family members when it comes to everyone's checked .
(31:11.87, 31:33.46) (spk 0): said help and she was increase both parents meaningful and satisfying technology experiences and their chains and meaningful satisfying technology experiences as well tensions can be reduced by parents in teams becoming more self aware and intentional intentional in their own check use and also more where Evan everything explored each other second .
(31:34.39, 31:57.03) (spk 0): when I come through increasing meaningful satisfying technology experiences and beyond a look out for experience is definitely one of these three qualities active intentionally gauge meant opportunity pursuit %HESITATION interest my new skills and also the ability to connect with others especially for teens their friends and I will stop there thank you .
(31:58.06, 32:46.86) (spk 0): thank you Katie really really call information and and again I think there's a lot of questions an interesting this idea tonight just amount amount of time as much as it would be nice to have instead she was a strict amount of time for age that we use but great to hear the research on this we're gonna take a little bit of a shift now and here from someone else before we get back into some more research we're gonna hear from Technische lane and tell Sonny is an Emmy nominated filmmaker founder of the Webby awards and after of the national bestselling book twenty four six giving up screens one day a week to get more time creativity and connexion %HESITATION winner of the Marshall McLuhan outstanding book award and with no more introduction needed I think you've got lots of people interested in that sort of your approach to I'll definitely something let you take it from here .
(32:47.93, 32:48.59) (spk 1): thank you .
(32:49.4, 32:54.78) (spk 1): and it's just been a pleasure to hear everybody's different perspectives were all passionate about the same issue .
(32:55.88, 33:9.06) (spk 1): and I can share with you that my background is in tack I founded the Webby awards my husband's a professor of robotics were very interested in technology and windows that amplifier lives in windows that MP tape or lives .
(33:9.87, 33:26.67) (spk 1): and about eleven years ago you know we were the first ones to get the iPhone back in two thousand and seven and I think we're one of the first crew to get very addicted to it and I didn't like the way I was feeling and I had this kind of very dramatic series of events and they really made me .
(33:27.48, 33:31.54) (spk 1): question house living a lost my dad and my daughter was born I second or so .
(33:32.35, 33:54.29) (spk 1): my family and I started doing something we're Jewish we are not religious but we're control Jews but there's a concept called should back which is three thousand years old and the concept is a day of rest and I'm really in America only orthodox Jews will take a complete their arrest and was most cultural Jews maybe they'll do a show by dinner couple times a month or something .
(33:55.25, 34:4.96) (spk 1): but my family and I decided to actually we call or text about so for eleven years now I'm from Friday night to Saturday night all screens go up in the house .
(34:5.77, 34:44.13) (spk ??): and it is literally the best thing is appearing %HESITATION with my husband and %HESITATION you know we always have people over on Friday night and during the pandemic at a distance but a Friday first social even our friends kids I mean our doctors are almost eighteen twelve so it's a very social night we often will invite their friends families over if they want to be social but it's for family and friends and there's no screens and it's literally my favourite conversation of the week because we we let people know people now that we got in screens and I'm gonna come over so there's no one looking at their screening you know cell phones like you on one person bring that out then everyone brings the loud and then are you having for heads right so %HESITATION .
(34:45.21, 34:51.32) (spk 1): we travel trains you know Friday night and Saturday is very analysed and .
(34:52.13, 34:59.35) (spk 1): we do all these things that bring us joy they done about screens cooking napping reading the great need sure .
(35:0.99, 35:2.51) (spk 1): and usually %HESITATION .
(35:3.35, 35:8.85) (spk 1): I mean it's it's wife I mean as a filmmaker is I feel the most creative I think it's really tired kids .
(35:9.66, 35:15.54) (spk 1): %HESITATION how to live without a screen like they can walk outside without one and be really resourceful and enjoy it .
(35:16.63, 35:49.66) (spk 1): then it has a ripple effect the other sixteens but I'm gonna say that I find the other sixteen harder %HESITATION I think the whole concept of out of sight out of mine is much easier when we have this very clear boundaries so for us as a family it's been really great but just just you know parenting is on modelling behaviour and we all do this thing together which is that we transfer into Monday week and ended up reading a book about it which really called twenty four sixty twenty walks people through how to bring this in your life in a lot of neuroscience I make a lot of films about no signs .
(35:50.7, 36:05.2) (spk 1): and the why you should do it and course for different age kids there's going to be a different conversation and a lot of a lot of women who like I want to do this we have to get my husband is doing like having read the book maybe is going to respond to the science more but you know the kids %HESITATION .
(36:6.01, 36:10.82) (spk 1): I think the other sixteenth I also talk about little many interventions that I do .
(36:11.63, 36:27.75) (spk 1): %HESITATION in our kids do you know we have no screens in the bedroom nine PM they go downstairs because there's so much research on how much kids are checking in on that so I'm very gan I feel like as a interesting to work control or guidance which I really love that reframing .
(36:29.3, 36:42.26) (spk 1): but for us it's like we hope you know all the stars about to go to college and she wants to bring us practise with her in college and she says it's really protected her from high school burn out just because she can't do homework on Saturdays we not letter .
(36:43.07, 37:25.31) (spk 1): because we really believe in there so much research that I true Dave rash is gonna recharge you in even a rest from the social drama and social media and I feel in a mental rest from the pandemic museum election is and I just feel sorry charge so it's kind of showing them that this is this insurance with %HESITATION like yoga meditation but this is kind of a middle road that we're kind of doing a non religious way that anyone can do and it's it can be life changing and I just didn't about last week I had all these teams on who's doing something warm I'm fighting I'm helpful found it's been for them so I'd love to close with a two minutes on the phone maker that I've made on the subject called dear student .
(37:40.52, 37:41.81) (spk 1): I'm not hearing sound .
(37:45.63, 37:51.45) (spk ??): others hearing sound and gnashing Sunday okay wait one second while they really share that with the sound button .
(37:53.6, 38:1.53) (spk 1): and while they're doing that I can just say that there's a big movement of a lot of teams that are starting this okay start from the beginning pull that slide over thank you .
(38:30.63, 38:31.13) (spk 0): %HESITATION .
- end of chunk 4-
(40:9.23, 40:9.86) (spk 1): so .
(40:11.69, 42:11.02) (spk ??): I did want to say but I have had some books been out there's a lot of people in covering this practise but I think in the last since the pandemic so many teams in college since arriving to me wanting a change because I think everyone depending just xcelerated this screen overdose and such an extreme way for everyone so I'm feeling very hopeful that perhaps one of the benefits from the pandemic with it took it to such an extreme right even the kids are the teams in the next generation I want to rebalance right definitely I think you've really catching something in that I can get the pandemic really brought this to the forefront of different anyone who wasn't spending time thinking about it before please put me on now what I also love about what you've done is this next between research and practical paying double what do you do about it and again I appreciate you letting me interjected between the researchers there because again it's still going to have to research what do we know where we figuring out N. B. what do we do with that how do we come up with something that in some way simple but having just since we kids off to college in the last four years it's not it's really simple into you do a nine month affected you said it's actually harbouring the other six days but that one day really is is sort of the Dave getting joining definitely been my experience as a parent as well you know I think it's in there is so much for your search on out of sight out of mind that if you're trying to go on a diet don't have cooking therapy anyway if they don't have the temptation around every second in that that's the way they feel like I'm the best parent where I'm not wrestling like we all do the other days if I could just because of the night it's not part of the negotiations for the day the irony to see you know ideal Latin world really childhood is the same thing holds true for two year old I received my thank you candles yes yes you need to do before I let you go you get some questions off to you as well and then I come back to this kind of idea but the research to find out this is many shipped finally but not last but not least to doctor pen with miss .
(42:11.02, 42:32.59) (spk ??): E. system professor in the department of computer science and the director of the socio technical interaction research S. T. A. R. I am her expertise in human computer interaction research helped her peace students to understand the value centred design WHN so before we get to questions pains you are up and we're looking for anything would you have to share .
(42:38.8, 42:44.12) (spk 2): I'll end it myself that's the typical staying of the pandemic on's in these days .
(42:44.93, 42:47.12) (spk 2): I'm gonna go ahead and share my screen .
(42:47.93, 42:54.49) (spk 2): so what I'm going to talk about today is to address %HESITATION however the questions that we got from parents like .
(42:55.3, 43:24.26) (spk 2): what is the best friend of the troll apps for me to use and unfortunately I'm not gonna give you assistance entering that instead I'm going to change the conversation a little bit to talk about a teen centred perspective of parental control apps and online safety because in the field of human computer interaction we like to focus on the users and in this case instead of treating users as parents when it comes to the online safety of our use my lab what we do is like to focus on cheap .
(43:26.21, 43:53.73) (spk 2): so obviously as a parent it makes sense that we're scared if you look in the news headlines our teams are at the injury all of the time and it makes us has this sense of fear just like Adam was talking about about the English diary so what happens when we have fear we want you get control we want to solve the problem we want to seal their teens in protecting because their futures at stake SO we become protectionist .
(43:55.51, 44:14.06) (spk 2): so that makes sense well we might ask the question of what parental control apps are best for keeping my pain safe online according to pew research about sixteen percent of parents use parental control absent that increasing over time so one of the things that we did in our plan is that we analysed seventy five at that were available on Google play .
(44:14.87, 44:39.46) (spk 2): for the purpose of adolescent online safety risks in here some of the findings from that study one of the important things when you think about design and the affordances of technologies argument dice so there's a concept called are you sensitive design well we have to be intentional about our use of technologies because each technology that we use has certain values in that is within it .
(44:40.27, 44:41.27) (spk 2): in this case .
(44:43.22, 44:48.14) (spk 2): well we found is really ultimately why these apps are often called parental controls .
(44:48.95, 45:28.27) (spk 2): we created a framework I've seen on the TV strategies that balances between parental control and team self regulation so common ways that parents can monitor change in their digital media your system monitoring restriction at the mediation or talking or giving instruction about technology is that education but the amount with ways that we can do this as Adam suggested is really the ultimate weight move is towards helping to self regulate their online behaviours through self monitoring managing their impulse control coping with risks and also education what we found when analysing these apps is there really headed three headed .
(45:29.25, 45:33.96) (spk 2): towards the authoritarian style of parenting through monitoring restriction .
(45:34.77, 45:57.78) (spk 2): so this is where you as a parent might wanna ask yourself do I consider myself an authoritarian parents or do I consider myself a parent that wants to give implement a tiny and privacy and other family values and so does take away from this is to have intentional technology is that when you're just using technology but also when you're using .
(45:59.1, 46:1.45) (spk 2): technology to monitor technology yes .
